,total_score,InterfaceRes,Interface_hbond_count,SASA,SASA_hydrophobic,SASA_polar,Sc,contact_surf,ddg,dslf_fa13,fa_atr,fa_dun,fa_elec,fa_intra_rep,fa_intra_rep_xover4,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,lk_ball_wtd,omega,p_aa_pp,pro_close,rama_prepro,ref,sugar_SASA,sugar_SASA_hydrophobic,sugar_SASA_polar,sugar_bb,yhh_planarity,description,Ligand,Pose,Run
0,-421.143,5.0,3.0,445.736,194.626,251.11,0.689,87.497,-10.321,0.0,-788.096,151.578,-239.822,1.375,16.499,28.291,79.968,479.737,-37.482,-51.615,-25.318,-26.09,-16.484,11.87,-25.204,0.346,-9.433,26.759,288.14,122.717,166.943,1.471,0.507,rel_S0I0_out_4_2_complex_0001,S0I0,2,0001
1,-419.808,5.0,3.0,479.458,223.805,255.653,0.699,90.545,-10.669,0.0,-795.011,153.968,-243.129,1.393,17.377,28.123,84.622,482.65,-35.989,-49.996,-29.247,-26.124,-15.089,13.389,-25.312,0.338,-10.693,26.759,284.181,123.486,162.215,1.607,0.555,rel_S0I0_out_4_2_complex_0002,S0I0,2,0002
2,-418.292,6.0,4.0,447.609,193.334,254.275,0.71,91.425,-10.567,0.0,-794.513,149.665,-238.432,1.384,16.753,28.168,82.747,481.48,-35.289,-51.267,-25.169,-26.199,-16.575,12.837,-25.571,0.307,-7.255,26.759,286.029,113.494,174.055,1.497,0.382,rel_S0I0_out_4_2_complex_0003,S0I0,2,0003
3,-418.649,5.0,3.0,450.009,189.73,260.279,0.66,84.047,-9.726,0.0,-790.761,150.643,-240.223,1.368,16.362,28.06,82.682,479.65,-35.139,-51.645,-26.407,-26.502,-15.942,12.312,-25.311,0.348,-7.543,26.759,301.27,128.872,173.919,2.364,0.275,rel_S0I0_out_4_2_complex_0004,S0I0,2,0004
4,-419.858,5.0,3.0,463.055,207.802,255.253,0.702,87.371,-10.644,0.0,-795.609,152.726,-242.692,1.383,16.685,28.239,82.125,483.155,-37.76,-49.961,-25.85,-25.981,-16.905,12.949,-24.419,0.304,-7.028,26.759,288.147,117.846,171.821,1.542,0.479,rel_S0I0_out_4_2_complex_0005,S0I0,2,0005
5,-418.893,5.0,3.0,476.729,213.198,263.531,0.704,90.438,-10.547,0.0,-798.679,155.191,-244.074,1.392,16.962,28.873,82.491,485.607,-38.695,-49.865,-26.43,-26.124,-15.885,14.408,-24.74,0.312,-8.45,26.759,283.828,126.05,159.298,1.6,0.453,rel_S0I0_out_4_2_complex_0006,S0I0,2,0006
6,-418.718,4.0,3.0,453.796,203.667,250.13,0.697,90.194,-11.319,0.0,-797.1,153.293,-242.239,1.4,17.608,28.624,85.034,483.701,-36.608,-49.796,-28.869,-26.343,-14.817,12.542,-25.126,0.344,-9.223,26.759,288.336,125.842,164.014,1.746,0.35,rel_S0I0_out_4_2_complex_0007,S0I0,2,0007
7,-407.214,5.0,3.0,445.492,172.199,273.294,0.7,88.397,-6.561,0.0,-794.743,154.284,-238.928,1.43,19.088,30.066,86.772,480.908,-36.628,-49.584,-23.745,-26.124,-15.557,12.46,-25.108,0.311,-10.734,26.759,288.398,155.256,134.662,1.767,0.09,rel_S0I0_out_4_2_complex_0008,S0I0,2,0008
8,-420.047,5.0,3.0,459.226,201.159,258.067,0.693,89.415,-10.691,0.0,-798.697,152.821,-238.149,1.392,17.186,28.636,83.269,486.3,-39.156,-51.069,-27.245,-26.559,-16.683,12.818,-24.829,0.324,-8.878,26.759,286.006,126.565,160.961,1.468,0.243,rel_S0I0_out_4_2_complex_0009,S0I0,2,0009
9,-414.93,5.0,3.0,375.768,154.938,220.831,0.664,67.436,-6.322,0.0,-793.324,152.998,-235.018,1.388,17.163,29.33,83.871,477.101,-36.083,-50.937,-24.639,-26.387,-16.349,12.434,-25.304,0.321,-9.836,26.759,350.05,160.941,190.629,1.147,0.435,rel_S0I0_out_4_2_complex_0010,S0I0,2,0010
