,Unnamed: 0,total_score,InterfaceRes,Interface_hbond_count,SASA,SASA_hydrophobic,SASA_polar,Sc,contact_surf,ddg,dslf_fa13,fa_atr,fa_dun,fa_elec,fa_intra_rep,fa_intra_rep_xover4,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,lk_ball_wtd,omega,p_aa_pp,pro_close,rama_prepro,ref,sugar_SASA,sugar_SASA_hydrophobic,sugar_SASA_polar,sugar_bb,yhh_planarity,Ligand,Pose
0,0,-403.359,5.0,0.0,456.687,244.315,212.373,0.408,68.454,-7.136,0.0,-794.709,156.185,-238.127,1.44,17.841,37.538,83.885,477.309,-34.099,-50.842,-24.733,-26.806,-17.916,13.799,-24.839,0.354,-9.246,26.759,404.038,100.556,305.155,2.599,0.251,S3I2,1
1,1,-405.298,6.0,0.0,423.384,252.627,171.516,0.349,51.615,-7.493,0.0,-783.024,149.99,-239.768,1.43,17.547,36.157,83.414,469.746,-33.095,-50.84,-26.038,-25.949,-14.921,12.966,-25.132,0.354,-8.163,26.759,429.567,72.887,356.984,2.779,0.489,S3I2,1
2,2,-403.986,3.0,0.0,396.891,208.696,188.194,0.45,38.582,-5.194,0.0,-786.411,154.117,-236.226,1.43,18.003,36.422,82.238,472.043,-30.985,-50.454,-26.906,-26.616,-18.031,12.393,-25.198,0.313,-8.778,26.759,424.915,113.688,312.9,1.664,0.239,S3I2,1
3,3,-405.209,5.0,1.0,433.497,208.969,224.528,0.598,53.638,-6.001,0.0,-788.594,152.145,-237.55,1.424,17.135,36.864,82.025,472.32,-33.171,-51.277,-23.792,-26.492,-15.829,13.754,-24.85,0.327,-8.205,26.759,419.759,105.619,315.357,1.594,0.204,S3I2,1
4,4,-400.464,5.0,0.0,455.485,242.949,212.536,0.406,61.243,-7.138,0.0,-791.112,157.402,-233.726,1.425,17.714,37.424,81.195,473.99,-34.061,-50.425,-24.484,-26.053,-17.637,12.543,-24.89,0.256,-10.121,26.759,395.065,62.093,334.644,2.882,0.456,S3I2,1
5,5,-406.577,5.0,3.0,491.187,252.115,239.072,0.435,78.71,-9.951,0.0,-789.439,155.826,-246.753,1.455,18.184,36.78,85.889,477.759,-32.995,-49.562,-29.293,-26.526,-13.176,12.013,-24.74,0.321,-10.707,26.759,374.543,78.478,297.13,1.367,0.262,S3I2,1
6,6,-404.161,3.0,0.0,379.901,202.855,177.046,0.429,35.606,-5.06,0.0,-782.13,150.277,-232.827,1.426,17.682,36.957,80.419,469.747,-31.69,-51.135,-25.575,-26.681,-16.279,12.194,-25.268,0.318,-10.174,26.759,444.14,122.128,323.077,1.624,0.197,S3I2,1
7,7,-400.886,5.0,0.0,455.281,252.074,203.208,0.372,60.417,-6.595,0.0,-783.991,152.518,-237.934,1.43,17.686,36.075,84.808,468.893,-30.062,-50.127,-27.769,-26.721,-14.497,12.441,-25.374,0.309,-7.737,26.759,374.126,76.39,298.8,2.039,0.365,S3I2,1
8,8,-393.447,3.0,1.0,451.715,227.984,224.187,0.475,59.801,-6.057,0.0,-786.456,153.78,-238.52,1.426,17.778,36.538,88.417,474.469,-28.715,-50.838,-25.936,-25.896,-17.216,11.415,-25.277,0.284,-7.633,26.759,393.507,100.878,293.389,1.712,0.461,S3I2,1
9,9,-405.732,3.0,0.0,362.534,190.554,171.98,0.522,35.376,-5.044,0.0,-785.041,153.746,-233.814,1.43,17.69,37.034,80.929,470.028,-33.106,-50.696,-26.731,-26.79,-16.03,11.842,-25.096,0.291,-9.993,26.759,458.664,126.226,333.502,1.587,0.23,S3I2,1
